,filepaths,labels
0,c:\temp\\spiders\train\Black Widow\001.jpg,Black Widow
1,c:\temp\\spiders\train\Black Widow\002.jpg,Black Widow
2,c:\temp\\spiders\train\Black Widow\003.jpg,Black Widow
3,c:\temp\\spiders\train\Black Widow\004.jpg,Black Widow
4,c:\temp\\spiders\train\Black Widow\005.jpg,Black Widow
5,c:\temp\\spiders\train\Black Widow\006.jpg,Black Widow
6,c:\temp\\spiders\train\Black Widow\007.jpg,Black Widow
7,c:\temp\\spiders\train\Black Widow\008.jpg,Black Widow
8,c:\temp\\spiders\train\Black Widow\009.jpg,Black Widow
9,c:\temp\\spiders\train\Black Widow\010.jpg,Black Widow
10,c:\temp\\spiders\train\Black Widow\011.jpg,Black Widow
11,c:\temp\\spiders\train\Black Widow\012.jpg,Black Widow
12,c:\temp\\spiders\train\Black Widow\013.jpg,Black Widow
13,c:\temp\\spiders\train\Black Widow\014.jpg,Black Widow
14,c:\temp\\spiders\train\Black Widow\015.jpg,Black Widow
15,c:\temp\\spiders\train\Black Widow\016.jpg,Black Widow
16,c:\temp\\spiders\train\Black Widow\017.jpg,Black Widow
17,c:\temp\\spiders\train\Black Widow\018.jpg,Black Widow
18,c:\temp\\spiders\train\Black Widow\019.jpg,Black Widow
19,c:\temp\\spiders\train\Black Widow\020.jpg,Black Widow
20,c:\temp\\spiders\train\Black Widow\021.jpg,Black Widow
21,c:\temp\\spiders\train\Black Widow\022.jpg,Black Widow
22,c:\temp\\spiders\train\Black Widow\023.jpg,Black Widow
23,c:\temp\\spiders\train\Black Widow\024.jpg,Black Widow
24,c:\temp\\spiders\train\Black Widow\025.jpg,Black Widow
25,c:\temp\\spiders\train\Black Widow\026.jpg,Black Widow
26,c:\temp\\spiders\train\Black Widow\027.jpg,Black Widow
27,c:\temp\\spiders\train\Black Widow\028.jpg,Black Widow
28,c:\temp\\spiders\train\Black Widow\029.jpg,Black Widow
29,c:\temp\\spiders\train\Black Widow\030.jpg,Black Widow
30,c:\temp\\spiders\train\Black Widow\031.jpg,Black Widow
31,c:\temp\\spiders\train\Black Widow\032.jpg,Black Widow
32,c:\temp\\spiders\train\Black Widow\033.jpg,Black Widow
33,c:\temp\\spiders\train\Black Widow\034.jpg,Black Widow
34,c:\temp\\spiders\train\Black Widow\035.jpg,Black Widow
35,c:\temp\\spiders\train\Black Widow\036.jpg,Black Widow
36,c:\temp\\spiders\train\Black Widow\037.jpg,Black Widow
37,c:\temp\\spiders\train\Black Widow\038.jpg,Black Widow
38,c:\temp\\spiders\train\Black Widow\039.jpg,Black Widow
39,c:\temp\\spiders\train\Black Widow\040.jpg,Black Widow
40,c:\temp\\spiders\train\Black Widow\041.jpg,Black Widow
41,c:\temp\\spiders\train\Black Widow\042.jpg,Black Widow
42,c:\temp\\spiders\train\Black Widow\043.jpg,Black Widow
43,c:\temp\\spiders\train\Black Widow\044.jpg,Black Widow
44,c:\temp\\spiders\train\Black Widow\045.jpg,Black Widow
45,c:\temp\\spiders\train\Black Widow\046.jpg,Black Widow
46,c:\temp\\spiders\train\Black Widow\047.jpg,Black Widow
47,c:\temp\\spiders\train\Black Widow\048.jpg,Black Widow
48,c:\temp\\spiders\train\Black Widow\049.jpg,Black Widow
49,c:\temp\\spiders\train\Black Widow\050.jpg,Black Widow
50,c:\temp\\spiders\train\Black Widow\051.jpg,Black Widow
51,c:\temp\\spiders\train\Black Widow\052.jpg,Black Widow
52,c:\temp\\spiders\train\Black Widow\053.jpg,Black Widow
53,c:\temp\\spiders\train\Black Widow\054.jpg,Black Widow
54,c:\temp\\spiders\train\Black Widow\055.jpg,Black Widow
55,c:\temp\\spiders\train\Black Widow\056.jpg,Black Widow
